participant_id,OrthoET_trial_number,OrthoET_trial_order,OrthoET_high,OrthoET_low,OrthoET_illegal,OrthoET_unpron,OrthoET_high_position,OrthoET_IA_label,OrthoET_response_time,OrthoET_response_choice,OrthoET_response_choice_accuracy_high,OrthoET_response_choice_accuracy_highlow,OrthoET_IA_fixation_count,OrthoET_IA_fixation_%,OrthoET_IA_dwell_time,OrthoET_IA_dwell_time%,OrthoET_IA_run_count,OrthoET_IA_first_run_fixation_count,OrthoET_IA_first_run_fixation%,OrthoET_IA_first_run_dwell_time,Ortho_ET_IA_inclusion,Ortho_ET_accuracy,accurate_trials,Ortho_ET_accuracy_inclusion,Ortho_ET_met_both_inclusion_count,Ortho_ET_met_both_inclusion
c141097,12,12,prit,twap,wgiy,bkjd,3,Low_Ortho_IA,2021,High_Ortho,1,1,0,0,0,0,0,.,.,.,0,1,18,TRUE,18,1
c141097,12,12,prit,twap,wgiy,bkjd,3,Illegal_IA,2021,High_Ortho,1,1,2,0.5,400,0.1718,1,2,0.5,400,0,1,18,TRUE,18,1
c141097,12,12,prit,twap,wgiy,bkjd,3,Unpron_IA,2021,High_Ortho,1,1,1,0.25,248,0.1065,1,1,0.25,248,0,1,18,TRUE,18,1
c141097,13,13,whon,phud,fvej,kdsj,3,High_Ortho_IA,3033,High_Ortho,1,1,1,0.1667,2158,0.674,1,1,0.1667,2158,1,1,18,TRUE,18,1
c141097,13,13,whon,phud,fvej,kdsj,3,Low_Ortho_IA,3033,High_Ortho,1,1,2,0.3333,284,0.0887,1,2,0.3333,284,1,1,18,TRUE,18,1
c141097,13,13,whon,phud,fvej,kdsj,3,Illegal_IA,3033,High_Ortho,1,1,1,0.1667,306,0.0956,1,1,0.1667,306,1,1,18,TRUE,18,1
c141097,13,13,whon,phud,fvej,kdsj,3,Unpron_IA,3033,High_Ortho,1,1,1,0.1667,236,0.0737,1,1,0.1667,236,1,1,18,TRUE,18,1
c141097,14,14,gred,wreb,gwiy,ktlh,2,High_Ortho_IA,2951,High_Ortho,1,1,1,0.2,1840,0.5779,1,1,0.2,1840,1,1,18,TRUE,18,1
c141097,14,14,gred,wreb,gwiy,ktlh,2,Low_Ortho_IA,2951,High_Ortho,1,1,1,0.2,590,0.1853,1,1,0.2,590,1,1,18,TRUE,18,1
c141097,14,14,gred,wreb,gwiy,ktlh,2,Illegal_IA,2951,High_Ortho,1,1,1,0.2,184,0.0578,1,1,0.2,184,1,1,18,TRUE,18,1
c141097,14,14,gred,wreb,gwiy,ktlh,2,Unpron_IA,2951,High_Ortho,1,1,1,0.2,356,0.1118,1,1,0.2,356,1,1,18,TRUE,18,1
c141097,15,15,grat,wrup,sviw,tkvc,2,High_Ortho_IA,1511,High_Ortho,1,1,2,0.4,1128,0.6402,2,1,0.2,924,0,1,18,TRUE,18,1
