IP_INDEX,IP_LABEL,RECORDING_SESSION_LABEL,TRIAL_INDEX,IA_LABEL,IA_DWELL_TIME,IA_DWELL_TIME_%,IA_FIRST_RUN_DWELL_TIME,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_TIME,IA_FIRST_RUN_FIXATION_COUNT,IA_FIXATION_COUNT,Accuracy,Remaining_Trials_Ortho,Response_Choice,Response_Time,Session_Name_,TASK2_POSITIONS,Trial_Index_,Trial_Number_Orthography,Trial_Recycled_,high_ortho,high_ortho_position,illegal_string,low_ortho,task,unpron_string,looked_all_four_IA,accuracy_high_low,accurate_trials,at_least_12_accurate,good_trial_count,has_12_good_trials,Group
.,Full Trial Period,c141097,9,Unpron_IA,194,0.05,194,194,1682,1,1,Correct,9,High_Ortho,3756,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,9,UNDEFINED,cret,4,bduw,glek,1,vghk,1,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,10,High_Ortho_IA,0,0,.,.,.,.,0,Correct,8,High_Ortho,2321,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,10,UNDEFINED,blet,2,vyuj,syod,1,tvqf,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,10,Low_Ortho_IA,330,0.1252,330,330,1596,1,1,Correct,8,High_Ortho,2321,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,10,UNDEFINED,blet,2,vyuj,syod,1,tvqf,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,10,Illegal_IA,0,0,.,.,.,.,0,Correct,8,High_Ortho,2321,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,10,UNDEFINED,blet,2,vyuj,syod,1,tvqf,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,10,Unpron_IA,312,0.1184,312,312,516,1,1,Correct,8,High_Ortho,2321,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,10,UNDEFINED,blet,2,vyuj,syod,1,tvqf,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,10,Unpron_IA,330,0.1252,330,330,1596,1,1,Correct,8,High_Ortho,2321,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,10,UNDEFINED,blet,2,vyuj,syod,1,tvqf,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,11,High_Ortho_IA,1880,0.8918,1880,1880,282,1,1,Correct,7,High_Ortho,1758,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,11,UNDEFINED,slan,1,bfiw,tway,1,hvfn,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,11,Low_Ortho_IA,0,0,.,.,.,.,0,Correct,7,High_Ortho,1758,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,11,UNDEFINED,slan,1,bfiw,tway,1,hvfn,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,11,Illegal_IA,0,0,.,.,.,.,0,Correct,7,High_Ortho,1758,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,11,UNDEFINED,slan,1,bfiw,tway,1,hvfn,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,11,Unpron_IA,0,0,.,.,.,.,0,Correct,7,High_Ortho,1758,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,11,UNDEFINED,slan,1,bfiw,tway,1,hvfn,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,12,High_Ortho_IA,1680,0.7216,1680,1680,756,1,1,Correct,6,High_Ortho,2021,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,12,UNDEFINED,prit,3,wgiy,twap,1,bkjd,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,12,Low_Ortho_IA,0,0,.,.,.,.,0,Correct,6,High_Ortho,2021,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,12,UNDEFINED,prit,3,wgiy,twap,1,bkjd,0,1,18,TRUE,12,1,TD
.,Full Trial Period,c141097,12,Illegal_IA,196,0.0842,196,196,520,1,1,Correct,6,High_Ortho,2021,UNDEFINED,"[(0, 0), (256, 192), (256, 576), (768, 192), (768, 576)]",UNDEFINED,12,UNDEFINED,prit,3,wgiy,twap,1,bkjd,0,1,18,TRUE,12,1,TD
